"","venue","date","date_string","lat","lon"
"1","93 Feet East, London, UK",2004-09-18,"18th September 2004",51.5214465,-0.0716978
"2","Chinnerys, Southend, UK",2005-01-30,"30th January 2005",51.533235,0.7189276
"3","Bread & Roses, Clapham, London, UK",2005-04-03,"3rd April 2005",36.7586592,-95.9393414
"4","The Luminaire, Kilburn, London, UK",2005-04-07,"7th April 2005",51.5442544,-0.2009384
"5","The Underworld, London, UK",2005-06-08,"8th June 2005",51.5391728,-0.1420906
"6","The Spitz, London, UK",2005-09-05,"5th September 2005",51.5197683,-0.0747812
"7","London ICA, UK",2005-09-13,"13th September 2005",51.5062318,-0.1307464
"8","Utopia Cafe, Southend, UK",2005-10-06,"6th October 2005",51.5352291,0.7143735
"9","The Curzon Cinema, Soho, London, UK",2005-10-07,"7th October 2005",51.5126604,-0.1305539
"10","Bradford Love Apple Cafe, UK",2005-10-14,"14th October 2005",53.7918502,-1.7581451
"11","Club Fandango, Plymouth, UK",2005-10-28,"28th October 2005",50.3686766,-4.1349524
"12","The Bull and Gate, London, UK",2005-10-30,"30th October 2005",51.551796,-0.141592
"13","The Tunbridge Wells Forum, UK",2005-11-04,"4th November 2005",51.1271327,0.2584309
"14","The Cellar Bar, Cambridge, UK",2005-11-05,"5th November 2005",52.2077896,0.1342976
"15","Chinnerys, Southend, UK",2005-11-06,"6th November 2005",51.533235,0.7189276
"16","The Star, Guildford, UK",2005-11-14,"14th November 2005",51.2349827,-0.5750708
"17","Junktion 7, Nottingham, UK",2005-11-16,"16th November 2005",52.9547832,-1.1581086
"18","The Fenton, Leeds, UK",2005-11-17,"17th November 2005",53.8057252,-1.5495418
"19","The Fighting Cocks, Kingston, UK",2005-11-18,"18th November 2005",51.4106911,-0.2982407
"20","The Retro Bar, Manchester, UK",2005-11-20,"20th November 2005",53.4747041,-2.234993
"21","Silks Bar, Basingstoke, UK",2005-11-24,"24th November 2005",51.26654,-1.0923964
"22","F-Bar, Leicester, UK",2005-11-25,"25th November 2005",52.6252355,-1.1387599
"23","The Glebe, Stoke, UK",2005-11-26,"26th November 2005",53.0049054,-2.1812491
"24","The Marquee, Norwich, UK",2005-12-01,"1st December 2005",52.646735,1.1776174
"25","Kiss Bar, Oxford, UK",2005-12-07,"7th December 2005",51.7526319,-1.2657575
"26","Phatz Bar, Maidenhead, UK",2005-12-08,"8th December 2005",51.5331916,-0.6991667
"27","The Elbow Rooms, Islington, London, UK",2005-12-11,"11th December 2005",51.5930275,-0.0699043
"28","The Hub, Cheltenham, UK",2005-12-13,"13th December 2005",51.9053709,-2.0887016
"29","Nambucca, Holloway, London, UK",2005-12-17,"17th December 2005",51.561021,-0.123746
"30","The ICA, London, UK",2006-01-08,"8th January 2006",51.5063335,-0.1309615
"31","The Depot, Riga, Latvia",2006-01-11,"11th January 2006",56.9466403,24.1140129
"32","Fontaine palace, Liepaja, Latvia",2006-01-13,"13th January 2006",56.512544,21.010254
"33","The Riga New Theatre, Riga, Latvia",2006-01-15,"15th January 2006",56.96668,24.1346659
"34","The Barbican Theatre, Plymouth, UK",2006-01-19,"19th January 2006",50.3662379,-4.1344427
"35","The Peel, Kingston, UK",2006-01-20,"20th January 2006",51.407713,-0.2846857
"36","Mad Hatters, Inverness, UK",2006-01-22,"22nd January 2006",57.4790697,-4.2272216
"37","13th Note, Glasgow, UK",2006-01-23,"23rd January 2006",55.8560527,-4.2468865
"38","The Rep Theatre, Dundee, UK",2006-01-24,"24th January 2006",56.4578509,-2.9764171
"39","The Tunnels, Aberdeen, UK",2006-01-25,"25th January 2006",57.1473434,-2.097576
"40","Parkers, Kilmarnock, UK",2006-01-26,"26th January 2006",55.6015777,-4.4945098
"41","The Cellar Bar, Oxford, UK",2006-01-31,"31st January 2006",51.7529602,-1.258676
"42","Bar Pure, Sunderland, UK",2006-02-01,"1st February 2006",54.906869,-1.383801
"43","Jax Bar, Hartlepool, UK",2006-02-02,"2nd February 2006",54.6847902,-1.2117038
"44","Rachel’s House, Newcastle, UK",2006-02-03,"3rd February 2006",54.978252,-1.61778
"45","Bangor University, Bangor, UK",2006-02-04,"4th February 2006",53.2295205,-4.1299873
"46","Keele University, Keele, UK",2006-02-05,"5th February 2006",53.0034373,-2.272053
"47","Chris’s House, Wigan, UK",2006-02-06,"6th February 2006",55.7763675,-3.9277884
"48","Bar Fresa, Liverpool, UK",2006-02-07,"7th February 2006",53.4013068,-2.9776477
"49","The Glebe, Stoke, UK",2006-02-08,"8th February 2006",53.0049054,-2.1812491
"50","Monkey Chews, Camden, London, UK",2006-02-09,"9th February 2006",51.547213,-0.1541287
"51","Terry’s, Trowbridge, UK",2006-02-11,"11th February 2006",51.319664,-2.208853
"52","The Steamboat Tavern, Ipswich, UK",2006-02-14,"14th February 2006",52.0490695,1.1590052
"53","Nambucca, Holloway, London, UK",2006-02-19,"19th February 2006",51.561021,-0.123746
"54","The Railway Inn, Winchester, UK",2006-02-21,"21st February 2006",51.066783,-1.3222087
"55","The Registry, Portsmouth, UK",2006-02-23,"23rd February 2006",50.795254,-1.095624
"56","The Windmill, Brixton, London, UK",2006-02-25,"25th February 2006",51.4539569,-0.122585
"57","Bush Hall, London, UK",2006-02-26,"26th February 2006",51.506399,-0.231663
"58","Babylove, Oxford, UK",2006-02-28,"28th February 2006",51.7520386,-1.2547282
"59","The Marquee, Hertford, UK",2006-03-03,"3rd March 2006",51.7974452,-0.0752612
"60","The Square, Harlow, UK",2006-03-04,"4th March 2006",51.7703323,0.0881287
"61","The Quicksilver Mail, Yeovil, UK",2006-03-05,"5th March 2006",50.9320678,-2.6438806
"62","The Globe, Brighton, UK",2006-03-06,"6th March 2006",50.820667,-0.143242
"63","The Roundabout, High Wycombe, UK",2006-03-10,"10th March 2006",51.6311194,-0.757828
"64","Chinnerys, Southend, UK",2006-03-16,"16th March 2006",51.533235,0.7189276
"65","The Angel, Bedford, UK",2006-03-17,"17th March 2006",51.9569478,-0.2862305
"66","The Spread Eagle, Shoreditch, London, UK",2006-03-18,"18th March 2006",51.5274482,-0.0781989
"67","Nambucca, Holloway, London, UK",2006-03-19,"19th March 2006",51.561021,-0.123746
"68","The Forum, Tunbridge Wells, UK",2006-03-25,"25th March 2006",51.1271327,0.2584309
"69","Junktion 7, Nottingham, UK",2006-03-26,"26th March 2006",52.9547832,-1.1581086
"70","The Vic Inn, Swindon, UK",2006-04-02,"2nd April 2006",51.5537816,-1.7770237
"71","The Bell By The Green, Devizes, UK",2006-04-03,"3rd April 2006",51.352398,-1.988451
"72","Mr Kyps, Poole, UK",2006-04-04,"4th April 2006",50.723973,-1.953806
"73","The Dove Inn, Winchester, UK",2006-04-05,"5th April 2006",51.182491,-1.261625
"74","Gander On The Green, Bournemouth, UK",2006-04-06,"6th April 2006",50.7284463,-1.8985572
"75","The Plantation Cafe, Guildford, UK",2006-04-07,"7th April 2006",51.2361001,-0.5732749
"76","The Corner Room, Oxford, UK",2006-04-08,"8th April 2006",51.7520209,-1.2577263
"77","The Joogleberry Playhouse, Brighton, UK",2006-04-10,"10th April 2006",50.827402,-0.1607701
"78","The Bedford, Balham, London, UK",2006-04-11,"11th April 2006",51.4427187,-0.1494399
"79","The Snooty Fox, Canonbury, London, UK",2006-04-12,"12th April 2006",51.5491659,-0.0913087
"80","The Archway Tavern, London, UK",2006-04-13,"13th April 2006",51.5659414,-0.1349351
"81","Meesh’s House, Newbury, UK",2006-04-14,"14th April 2006",51.401409,-1.3231139
"82","The Wheatsheaf, Oxford, UK",2006-04-15,"15th April 2006",51.7517117,-1.2562703
